DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/9/2017,10:58,STATEN ISLAND,10310,40.63719,-74.10706,"(40.63719, -74.10706)",NORTH SAINT AUSTINS PLACE       ,BARD AVENUE,,0,4,2,1,6,8,9,5,Driver Inexperience,Unspecified,,,,3786871,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/9/2017,12:40,STATEN ISLAND,10304,40.609077,-74.08353,"(40.609077, -74.08353)",STEUBEN STREET                  ,NECKAR AVENUE,,5,5,8,10,9,6,2,0,Unspecified,Unspecified,,,,3786872,PASSENGER VEHICLE,,,,
11/9/2017,12:40,STATEN ISLAND,10304,40.608673,-74.0828,"(40.608673, -74.0828)",STEUBEN STREET                  ,WESER AVENUE,,6,2,5,2,0,5,0,8,Unspecified,,,,,3788605,PASSENGER VEHICLE,,,,
11/9/2017,15:02,STATEN ISLAND,10305,40.583042,-74.096176,"(40.583042, -74.096176)",HYLAN BOULEVARD                 ,SEAVER AVENUE,,7,4,4,1,5,4,8,7,Following Too Closely,Unspecified,,,,3786906,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/9/2017,15:05,STATEN ISLAND,10314,40.61295,-74.12464,"(40.61295, -74.12464)",VICTORY BOULEVARD               ,SOUTH GREENLEAF AVENUE,,9,5,8,4,7,0,10,9,Driver Inattention/Distraction,Unspecified,,,,3786874,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/9/2017,15:17,STATEN ISLAND,10305,40.595654,-74.08216,"(40.595654, -74.08216)",PARKINSON AVENUE                ,KRAMER STREET,,10,0,3,0,4,8,3,8,Unspecified,Unspecified,,,,3789449,PASSENGER VEHICLE,,,,
11/9/2017,16:26,STATEN ISLAND,10304,40.599087,-74.10922,"(40.599087, -74.10922)",BENEDICT ROAD                   ,CALLAN AVENUE,,4,7,3,7,2,8,0,4,Backing Unsafely,Unspecified,,,,3786831,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/9/2017,18:10,STATEN ISLAND,10308,40.559933,-74.1518,"(40.559933, -74.1518)",BARLOW AVENUE                   ,MILES AVENUE,,3,5,8,6,8,5,2,3,Traffic Control Disregarded,Unspecified,,,,3786951,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/9/2017,5:15,STATEN ISLAND,10301,40.60057,-74.11339,"(40.60057, -74.11339)",TODT HILL ROAD                  ,MERRICK AVENUE,,0,10,5,7,5,9,3,4,Animals Action,,,,,3786480,SPORT UTILITY / STATION WAGON,,,,
11/9/2017,7:30,STATEN ISLAND,10308,40.544735,-74.14359,"(40.544735, -74.14359)",HYLAN BOULEVARD                 ,WHITMAN AVENUE,,5,4,4,10,9,6,5,8,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,,3786803,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
11/9/2017,8:28,STATEN ISLAND,10314,40.597622,-74.123695,"(40.597622, -74.123695)",,,1200      MANOR ROAD                    ,8,6,0,2,2,4,6,8,Turning Improperly,Unspecified,,,,3786800,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/9/2017,9:04,STATEN ISLAND,10314,40.606426,-74.12023,"(40.606426, -74.12023)",,,275       WESTWOOD AVENUE               ,7,4,9,7,9,10,10,0,Driver Inattention/Distraction,Unspecified,,,,3786799,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/10/2017,0:01,STATEN ISLAND,10312,40.554546,-74.19388,"(40.554546, -74.19388)",,,21        HAMPTON GREEN                 ,0,6,0,4,7,9,5,6,Driver Inexperience,Unspecified,,,,3788289,PICK-UP TRUCK,,,,
11/10/2017,11:30,STATEN ISLAND,10307,40.514362,-74.24629,"(40.514362, -74.24629)",ARTHUR KILL ROAD                ,LEE AVENUE,,7,8,7,7,3,6,1,6,Traffic Control Disregarded,Unspecified,,,,3787823,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
11/10/2017,13:26,STATEN ISLAND,10312,40.532425,-74.192024,"(40.532425, -74.192024)",,,901       HUGUENOT AVENUE               ,4,3,5,9,2,5,10,7,Driver Inattention/Distraction,Unspecified,,,,3788280,PICK-UP TRUCK,PASSENGER VEHICLE,,,
11/10/2017,15:06,STATEN ISLAND,10306,40.566494,-74.11377,"(40.566494, -74.11377)",HYLAN BOULEVARD                 ,EBBITTS STREET,,9,9,2,10,1,8,8,4,Following Too Closely,Unspecified,,,,3787904,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/10/2017,15:06,STATEN ISLAND,10309,40.523464,-74.234856,"(40.523464, -74.234856)",,,15        PAGE AVENUE                   ,4,10,7,5,10,5,4,7,Unspecified,Unspecified,,,,3788271,PASSENGER VEHICLE,,,,
11/10/2017,16:00,STATEN ISLAND,10314,40.618504,-74.1235,"(40.618504, -74.1235)",KEIBER COURT                    ,MANOR ROAD,,2,5,7,8,0,0,1,5,Driver Inattention/Distraction,Unspecified,Unspecified,,,3787563,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
11/10/2017,16:03,STATEN ISLAND,10306,40.565254,-74.1301,"(40.565254, -74.1301)",AMBOY ROAD                      ,GUYON AVENUE,,6,0,7,1,9,9,1,7,Following Too Closely,Unspecified,,,,3787908,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2017,16:11,STATEN ISLAND,10306,40.580208,-74.09975,"(40.580208, -74.09975)",HYLAN BOULEVARD                 ,ADAMS AVENUE,,2,10,8,10,4,10,10,0,Driver Inattention/Distraction,Unspecified,,,,3787893,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2017,17:00,STATEN ISLAND,10304,40.589344,-74.1015,"(40.589344, -74.1015)",RICHMOND ROAD                   ,BUEL AVENUE,,6,6,0,7,1,2,4,7,Following Too Closely,Unspecified,,,,3787912,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2017,17:00,STATEN ISLAND,10314,40.608788,-74.12879,"(40.608788, -74.12879)",NORTH GANNON AVENUE             ,QUINLAN AVENUE,,7,10,2,1,9,6,10,9,Driver Inattention/Distraction,Unspecified,,,,3788705,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2017,17:01,STATEN ISLAND,10304,40.6094,-74.09011,"(40.6094, -74.09011)",RICHMOND ROAD                   ,NARROWS ROAD NORTH,,10,2,2,10,1,5,0,0,Unspecified,Unspecified,,,,3788586,PASSENGER VEHICLE,,,,
